Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e733d619aa9271e5265e1beb166fc409e4498645585ab3b9a0789f47bdc20d2d,2022-04,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
d3d54c280ba43918c35f6e3500c526dc66273e7b38c67864f31873c1786c49e1,2022-04,Gwent Police,Gwent Police,-3.083699,51.769175,On or near SYCAMORE ROAD,W01001487,Torfaen 001A,Investigation complete; no suspect identified
698e725befd0320aa3a8dd5021d278b981127c17cd7ce91bbd1b6960f8359b8d,2022-04,Gwent Police,Gwent Police,-3.023849,51.662902,On or near PARKLANDS CLOSE,W01001520,Torfaen 007B,Investigation complete; no suspect identified
4c17626ca42d7c544ce17a5f8392e15000ab3f47eea01c0770a4cf3aa37bfb09,2022-04,Gwent Police,Gwent Police,-3.013880,51.561491,On or near CHAFFINCH WAY,W01001689,Newport 019D,Investigation complete; no suspect identified
c0c2e2f17131ce9321c979e8d7977c636e045f06cf0ab6d77854bf0f97652118,2022-04,Gwent Police,Gwent Police,-2.998418,51.582053,On or near DEWSLAND PARK ROAD,W01001686,Newport 014C,Investigation complete; no suspect identified
7b98e5a7e59b12c07ab80c5b5890d948cba8106ca1beacb5ea0dfa5c194dcc63,2022-04,Gwent Police,Gwent Police,-3.028345,51.833187,On or near CHAIN ROAD,W01001545,Monmouthshire 001A,Investigation complete; no suspect identified
d69118c315b96c2b49ed87dcb4e0104086a12be45275a566a1ad9ae522a2858a,2022-04,Gwent Police,Gwent Police,-3.338258,51.654425,On or near PONTCYNON TERRACE,W01001145,Rhondda Cynon Taf 012C,Investigation complete; no suspect identified
caef7cb0907c4481346e214c0e1d79a49631c0f98ea241da4d6008ba5db9d728,2022-04,Gwent Police,Gwent Police,-2.967729,51.614365,On or near LODGE ROAD,W01001626,Newport 001D,Investigation complete; no suspect identified
613383851a802ef22a252ce6dc43092e90b1e5facf60ae047ddd2528bcf1f09d,2022-04,Gwent Police,Gwent Police,-3.159732,51.762047,On or near Petrol Station,W01001445,Blaenau Gwent 005C,Investigation complete; no suspect identified
b81961786b1b0727ff600399f8da27e62af8c96ffd95c14fe27c13830e87cef5,2022-04,Gwent Police,Gwent Police,-2.682821,51.641517,On or near DANES CLOSE,W01001585,Monmouthshire 007C,Investigation complete; no suspect identified
401b0fff6b1bdaf0c83084deb262351d8c4b15726500adf4c123d7fdc9dc5ca6,2022-04,Gwent Police,Gwent Police,-2.683963,51.635747,On or near Petrol Station,W01001586,Monmouthshire 007D,Investigation complete; no suspect identified
9bc240ffccb686a33b65f45beb944860360e8eec88c891f69642b723d4137c6f,2022-04,Gwent Police,Gwent Police,-3.012724,51.583495,On or near OMBERSLEY LANE,W01001605,Newport 014A,Investigation complete; no suspect identified
2947a0d963c4ab31d6923067f11349c4aa9b1534518dfb5a6051fda52d113bdc,2022-04,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
b51c94bbbca5b87ea504e1a9c1a4746a8f10b032b0c3a9430ed99329c5a25bdd,2022-04,Gwent Police,Gwent Police,-3.063575,51.594743,On or near THORNHILL WAY,W01001670,Newport 009B,Investigation complete; no suspect identified
bc3884b3db3a6437d6df9e6d052fe125134e4b718edb52aef1d1300a8d5304d8,2022-04,Gwent Police,Gwent Police,-2.994487,51.587085,On or near Supermarket,W01001687,Newport 014D,Investigation complete; no suspect identified
8374760a3e172ee6fe3eaa71815c5b526d6c1bf37cf23032c4211ed97e4758bb,2022-04,Gwent Police,Gwent Police,-3.146327,51.739700,On or near LAWRENCE AVENUE,W01001453,Blaenau Gwent 008D,Investigation complete; no suspect identified
97322b2b9846c054da696598e9dff0f48bfe97488aeab0db392c4e611fe0e1fa,2022-04,Gwent Police,Gwent Police,-3.100341,51.614294,On or near YORK PLACE,W01001411,Caerphilly 017A,Investigation complete; no suspect identified
b7e6cbb52aa8f42189289e4effb487e551870a7f2e3a4a71385035b74ca942e3,2022-04,Gwent Police,Gwent Police,-3.216250,51.779009,On or near Shopping Area,W01001457,Blaenau Gwent 004D,Investigation complete; no suspect identified
7d5bbb6227381bdd530de28e0fc1b9edb59bf5841c6415d96c3dd7481dddcba3,2022-04,Gwent Police,Gwent Police,-3.211485,51.780236,On or near TREDEGAR GAP,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
8e4ea6662790a0ae00848b3314d8c3723586c899604756fd4f0438976fcec820,2022-04,Gwent Police,Gwent Police,-3.000396,51.597861,On or near GOODRICH LANE,W01001681,Newport 006B,Investigation complete; no suspect identified
7b03725568d06556a6aae3499f6ba7187ec807f2dbb7fb9d91e9a2f7a9008614,2022-04,Gwent Police,Gwent Police,-2.998969,51.570323,On or near DOCKS WAY,W01001660,Newport 018B,Investigation complete; no suspect identified
f1e02894df120047d351e26dd57147a05afe3bfebaef1cbc68e2a94bd2cc6729,2022-04,Gwent Police,Gwent Police,-3.133436,51.682890,On or near BAILLIE SMITH AVENUE,W01001464,Blaenau Gwent 009A,Investigation complete; no suspect identified
c9a9f7646770b72046ec44848fe2468efc73437f6c8e8d24f9ce23efa8080a2e,2022-04,Gwent Police,Gwent Police,-2.674753,51.642175,On or near BEAUFORT SQUARE,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
bc6ef0e05c5e42dcc08515c8d424b71c7f8317448d9df86354fc45a693050d4e,2022-04,Gwent Police,Gwent Police,-2.983313,51.591666,On or near HEREFORD STREET,W01001692,Newport 011E,Investigation complete; no suspect identified
b557acefd31229920c90290909f4c80c6026266ed2edd24242b886018882c6f9,2022-04,Gwent Police,Gwent Police,-3.225675,51.693491,On or near HEOL YSGOL NEWYDD,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
6c780ea3680c0b7a9af71613f58ba723001ace072b2162c82c8e4a151e1c686c,2022-04,Gwent Police,Gwent Police,-3.028040,51.813400,On or near SAMUEL SALTER CLOSE,W01001564,Monmouthshire 003D,Investigation complete; no suspect identified
422050e3aebc72b7b9405fc105d00f8d426103997098b4ccad52ac8995224937,2022-04,Gwent Police,Gwent Police,-3.076215,51.597514,On or near MEADOWLANDS DRIVE,W01001636,Newport 020A,Investigation complete; no suspect identified
f38320504b80d0afafdf994b9fe79069c8af275a54744bb7a400cd335f22a45e,2022-04,Gwent Police,Gwent Police,-3.035835,51.697801,On or near RHES PEN-Y-GRIAG,W01001524,Torfaen 004D,Investigation complete; no suspect identified
743e8f552948fc510565eb26c3b1f310cecb617a5368189f7b9c9cbe84f25ed0,2022-04,Gwent Police,Gwent Police,-3.069209,51.734933,On or near EARL CLOSE,W01001483,Torfaen 002B,Investigation complete; no suspect identified
c86e79e69d6946648635aa1f003d0b6540e4d3ddff0ad6d1c8ee0895f9702969,2022-04,Gwent Police,Gwent Police,-3.123414,51.580662,On or near MELIN DWR,W01001419,Caerphilly 021D,Investigation complete; no suspect identified
3a26efe482016695ae719f23e0969e425ea353c5241f8e8a8589dfa4c9bd4c58,2022-04,Gwent Police,Gwent Police,-3.214695,51.577298,On or near Supermarket,W01001422,Caerphilly 022F,Investigation complete; no suspect identified
3801945f04ea9ffc173e342a6bfa50a342a25c39d955bfcc0869334b08223b63,2022-04,Gwent Police,Gwent Police,-2.960608,51.592448,On or near BEECHCROFT ROAD,W01001608,Newport 008B,Investigation complete; no suspect identified
989e89d36dceddaa15aa08e96e9c10b656fa6e8662a969d766c51c2fe725d47f,2022-04,Gwent Police,Gwent Police,-3.022771,51.656132,On or near GRANGE LANE,W01001519,Torfaen 007A,Investigation complete; no suspect identified
098db29d1c933d74dfc16bbb06337dc322f58893725cbed1868e6f155efb1490,2022-04,Gwent Police,Gwent Police,-3.167724,51.780347,On or near BEAUMONT CLOSE,W01001468,Blaenau Gwent 005E,Investigation complete; no suspect identified
dde9908cae8a5fd6ae9eb2dccf636ac385fa38e3adc97f6c4deddde0e2d207fc,2022-04,Gwent Police,Gwent Police,-2.956643,51.589279,On or near CHEPSTOW ROAD,W01001608,Newport 008B,Investigation complete; no suspect identified
02059e18943ab7e1004c264f5e28b1da0f1631eca554c609104dedaef626b087,2022-04,Gwent Police,Gwent Police,-2.995998,51.586227,On or near SCHOOL LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
554cef6c400011bf8345cc835910edac388ae36b16f4405bcd27cbb9e82ba5cf,2022-04,Gwent Police,Gwent Police,-3.189309,51.690457,On or near LOWER JAMES STREET,W01001335,Caerphilly 005B,Investigation complete; no suspect identified
c65e58a8d5d4b1e95b5f4082070f6701de015aedb26142244ea05e25f0991cb8,2022-04,Gwent Police,Gwent Police,-3.208752,51.782647,On or near WESTERN TERRACE,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
9070db55f675378ab225c430d51cc7af082991de9a6a2cec71c8693a47af92a1,2022-04,Gwent Police,Gwent Police,-2.983208,51.586821,On or near Bus/Coach Station,W01001693,Newport 013E,Investigation complete; no suspect identified
1f2fa41d9c607690dd7547bf37c566021c71cdda331fa48dfac898d9aecff4e0,2022-04,Gwent Police,Gwent Police,-3.187934,51.627970,On or near ALEXANDRA ROAD,W01001431,Caerphilly 015C,Investigation complete; no suspect identified
aa6b4271321b89f17fb35a17dd60b6bc361da7a123e3595642944a9f93253204,2022-04,Gwent Police,Gwent Police,-2.660792,51.647119,On or near SEDBURY CHASE,E01022275,Forest of Dean 010E,Investigation complete; no suspect identified
d1f4ae5145013e7bb71e23ae75410238e4f5bcdc6232e8b9ca03dd7a8c14ecc4,2022-04,Gwent Police,Gwent Police,-3.230340,51.580560,On or near MELIN GWLAN,W01001396,Caerphilly 023D,Investigation complete; no suspect identified
4eaa0cf164dc144d7fc87c178985280b2246efbd423824a7f434e611f66d6980,2022-04,Gwent Police,Gwent Police,-3.031693,51.666457,On or near FIVE LOCKS CLOSE,W01001522,Torfaen 007D,Investigation complete; no suspect identified
7300ef67d4406434a630168fae8216a01f08faedaf8a52b1de690147d4af2b67,2022-04,Gwent Police,Gwent Police,-3.077624,51.776361,On or near HILLSIDE AVENUE,W01001488,Torfaen 001B,Investigation complete; no suspect identified
c4c572112a59c4f9cb0b4f51519e6e3e4e9866a9ffab8461d7bab63a63747da7,2022-04,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
e21455fbfa24b97df07b5982fff956eb8bd3879cf603526bd0dfe4e3d79cde2a,2022-04,Gwent Police,Gwent Police,-3.232117,51.689899,On or near SOUTH STREET,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
979a3eebb4a4f40bc33007f7c21e77e03910fae453e033238bff1b4c46b43367,2022-04,Gwent Police,Gwent Police,-3.229332,51.689101,On or near Police Station,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
18cf8a63db811abd4541675d4af0765fc7e342edeb86f34f6581b4f97f3ad68e,2022-04,Gwent Police,Gwent Police,-3.244290,51.722815,On or near CHAPEL STREET,W01001384,Caerphilly 002C,Investigation complete; no suspect identified
180dba7ad217f5b8f9d3ce279fd899d38dbfa43d90d1107d757554b2cb73387e,2022-04,Gwent Police,Gwent Police,-2.836430,51.588435,On or near Motorway Service Area,W01001573,Monmouthshire 011B,Investigation complete; no suspect identified
97bcf3ccd447f646c280778b95169a36a431212aee7526b392de4139477648a0,2022-04,Gwent Police,Gwent Police,-3.028654,51.690563,On or near STAFFORD ROAD,W01001514,Torfaen 006A,Investigation complete; no suspect identified
bb6592898b5217e49443aa5c4f168f3ccd8fe043a0d40124d42551771f951032,2022-04,Gwent Police,Gwent Police,-3.077863,51.772996,On or near Parking Area,W01001487,Torfaen 001A,Investigation complete; no suspect identified
9c5f9acfb2f6ef5e8934bbc215ce5892a2f31d36e93421fea97918e318f26ead,2022-04,Gwent Police,Gwent Police,-3.229375,51.568845,On or near BRYNGWYN,W01001426,Caerphilly 024E,Investigation complete; no suspect identified
a2931cc38a4e6b955e997dc96f33c4ef8947a423fab7d847498e89e53dfe18ed,2022-04,Gwent Police,Gwent Police,-3.033119,51.681460,On or near TERAS Y FFYNNON,W01001518,Torfaen 006E,Investigation complete; no suspect identified
08832bc6dd9767816f37c3b9bb51621992a247bcbff35eeb9a43f8d902aef244,2022-04,Gwent Police,Gwent Police,-2.993758,51.599302,On or near ALDERNEY STREET,W01001681,Newport 006B,Investigation complete; no suspect identified
06b8f92974767ec3e1980a557a644d870f06e34e502ce62046d36514de35e237,2022-04,Gwent Police,Gwent Police,-3.026521,51.689655,On or near COEDYGRIC ROAD,W01001515,Torfaen 006B,Investigation complete; no suspect identified
6b600dcbbdac898c1cd5cc7ec383df9354e6be737fd693dba60d9b0d0bad303a,2022-04,Gwent Police,Gwent Police,-2.996478,51.577169,On or near BELL VUE TERRACE,W01001659,Newport 018A,Investigation complete; no suspect identified
feb67bd17c9fb436063cd98627da43a5ae6815f7d7e33cf5181fd44c8cc09e49,2022-04,Gwent Police,Gwent Police,-3.206260,51.792482,On or near BEAUFORT TERRACE,W01001439,Blaenau Gwent 004B,Investigation complete; no suspect identified
1795f44e6c265b4930bba8483a0886f686642f0d0495519783b60dcf33606338,2022-04,Gwent Police,Gwent Police,-3.004534,51.589077,On or near GODFREY ROAD,W01001603,Newport 012C,Investigation complete; no suspect identified
ade243ddb0320dd2996854487f9ea4de299515f8181c100c4729a42c3603aeee,2022-04,Gwent Police,Gwent Police,-3.004756,51.601753,On or near MALPAS ROAD,W01001682,Newport 006C,Investigation complete; no suspect identified
377392df34e92a29dd0d21a4167af71274351e76f4b035fb10c20b420b57e785,2022-04,Gwent Police,Gwent Police,-3.056538,51.711940,On or near CHARLESVILLE,W01001529,Torfaen 003B,Investigation complete; no suspect identified
e2c7f46677229d0fd3406d4bf273fe5b8a0e7bdd07805d57e8116a7b6b9cebd7,2022-04,Gwent Police,Gwent Police,-3.232816,51.654402,On or near HENGOED CRESCENT,W01001363,Caerphilly 012A,Investigation complete; no suspect identified
40ff34e170d0470d5c59c50bed734921513687195662961da1cfb87d482fe1a9,2022-04,Gwent Police,Gwent Police,-3.055544,51.712758,On or near ST LUKE'S ROAD,W01001529,Torfaen 003B,Investigation complete; no suspect identified
9ed91ea6b20199ad9bab4517b5bb14331f4eda5615745940148351c257878581,2022-04,Gwent Police,Gwent Police,-2.992071,51.590828,On or near CLARENCE PLACE,W01001693,Newport 013E,Investigation complete; no suspect identified
2dae2400b7a27b220d8234b5dae27d71aedee580114a7d5b117d0761b37e6033,2022-04,Gwent Police,Gwent Police,-2.992071,51.590828,On or near CLARENCE PLACE,W01001693,Newport 013E,Investigation complete; no suspect identified
04334caf118dd8d9b1e963ca1c219d193231a1b69004bdd95743173a5222128d,2022-04,Gwent Police,Gwent Police,-3.214695,51.577298,On or near Supermarket,W01001422,Caerphilly 022F,Investigation complete; no suspect identified
b537b4767c0c5ee3da99d204006ad803e4c6a2a57d86b3120a5770d066168be7,2022-04,Gwent Police,Gwent Police,-2.995231,51.588779,On or near UPPER DOCK STREET,W01001685,Newport 014B,Investigation complete; no suspect identified
56c14c1a48fc71f79d8f874dc2164ec38b4b2bd333aa515a6c5abf76d26b3cd0,2022-04,Gwent Police,Gwent Police,-3.051121,51.709300,On or near MERCHANT'S HILL CLOSE,W01001523,Torfaen 004C,Investigation complete; no suspect identified
dbb65878ec9626ef62cd0231130b556af901f8617654bf3602251f26db29eb50,2022-04,Gwent Police,Gwent Police,-3.041656,51.703621,On or near Supermarket,W01001524,Torfaen 004D,Investigation complete; no suspect identified
2f7fea5937a138cc911adb7757c56d59b1f4ff3709c3d47825f67009f015c0fa,2022-04,Gwent Police,Gwent Police,-3.092367,51.522742,On or near THRUSH CLOSE,W01001882,Cardiff 011C,Investigation complete; no suspect identified
0df7ce64d7722dbe52c4816e514f7a97a9a1f6f08da202a58ce6438973d1831d,2022-04,Gwent Police,Gwent Police,-3.024825,51.687566,On or near CLIFTON SQUARE,W01001515,Torfaen 006B,Investigation complete; no suspect identified
787b458286d07daff94f955f3a2f4995dc4fb4e312e744c1920961ddd4e10916,2022-04,Gwent Police,Gwent Police,-2.990649,51.579214,On or near FRANCIS DRIVE,W01001662,Newport 018D,Investigation complete; no suspect identified
74a6e71cdfea1f9f5633849490724b463bbbd7ad0711f6c3a9ba1500e474550b,2022-04,Gwent Police,Gwent Police,-2.952611,51.573838,On or near Further/Higher Educational Building,W01001647,Newport 015F,Investigation complete; no suspect identified
27ad16a43783a485647acda50da65b91f544a8064078c79e338f6feb4c15d960,2022-04,Gwent Police,Gwent Police,-2.745975,51.592309,On or near JOLYONS COURT,W01001589,Monmouthshire 010E,Investigation complete; no suspect identified
8b57c93611ae39982df5cc30123fbd8e1893a8f2f0e838d89bc6f79c5e4a04e5,2022-04,Gwent Police,Gwent Police,-3.084888,51.776429,On or near CASTLE STREET,W01001488,Torfaen 001B,Investigation complete; no suspect identified
63c551af37abb8a3267dc3a53326e98e91bf3471ee006d54281ac67fbd7b05f3,2022-04,Gwent Police,Gwent Police,-3.246665,51.775957,On or near Supermarket,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
42b190b3c7c89fcaf689df6ceaf1c92ba81fc42a5c87981b18fa771274e5eb45,2022-04,Gwent Police,Gwent Police,-3.243907,51.567901,On or near CAE NANT GOCH,W01001398,Caerphilly 024A,Investigation complete; no suspect identified
dd9ad89470c58c1ca0af8a5e4f378f7b5b2388349877ae8001393819ea32407c,2022-04,Gwent Police,Gwent Police,-3.206994,51.771660,On or near SPENCER STREET,W01001461,Blaenau Gwent 007F,Investigation complete; no suspect identified
549e80703464ac99332d2801587f0fa58419e8ea0db18b892f27dcf22c4e213a,2022-04,Gwent Police,Gwent Police,-2.945278,51.576495,On or near CENTRAL AVENUE,W01001646,Newport 015E,Investigation complete; no suspect identified
83db58a2e0a6b1de788af2891f6b279ee44f56a15dd3092d2abe0c40fb646660,2022-04,Gwent Police,Gwent Police,-3.241991,51.571716,On or near TREM TWR Y DRWM,W01001398,Caerphilly 024A,Investigation complete; no suspect identified
9625dbc0aaac4b0c8a32713d9e1b533f272c7952f2b51e80e29236545ff64a7b,2022-04,Gwent Police,Gwent Police,-3.236318,51.641255,On or near COMMERCIAL STREET,W01001433,Caerphilly 013E,Investigation complete; no suspect identified
98b621674f3ba6e2bc26622363c6bc4b2d8f7658796157cc652a7e544a896f9a,2022-04,Gwent Police,Gwent Police,-3.171906,51.591283,On or near DANYGRAIG,W01001345,Caerphilly 021C,Investigation complete; no suspect identified
b7602e71c5376f30c089357a3d4b3c9543225b643a9b5e9abfaf2f5e8565f38e,2022-04,Gwent Police,Gwent Police,-3.183226,51.801034,On or near GURNOS ESTATE,W01001449,Blaenau Gwent 002D,Investigation complete; no suspect identified
a44acb019238613d2a4ba98e2aa38449605812665c8d6b48c879649f227ad4cc,2022-04,Gwent Police,Gwent Police,-3.023394,51.688298,On or near Parking Area,W01001515,Torfaen 006B,Investigation complete; no suspect identified
4119fc1e4d2030eb3aa2204f2105213f45f6c927da5550707cad2e55b925a9e7,2022-04,Gwent Police,Gwent Police,-3.225186,51.585839,On or near Supermarket,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
a7dd7d31321f70452cd0fd6a069ffb9fb605a64102812d752c322ea6b1f63e37,2022-04,Gwent Police,Gwent Police,-3.217223,51.576831,On or near Further/Higher Educational Building,W01001373,Caerphilly 022C,Investigation complete; no suspect identified
cf2240918953aa8aee08fdd56822ffa2dd0acb3d8df2cc7b5674f197085cc12e,2022-04,Gwent Police,Gwent Police,-2.950396,51.583189,On or near Pedestrian Subway,W01001645,Newport 015D,Investigation complete; no suspect identified
040cce16b019142c2102c1fa15a00e46ed21d3695c7a9a2d06aa438e0a7dbcee,2022-04,Gwent Police,Gwent Police,-2.992315,51.582113,On or near COMMERCIAL ROAD,W01001687,Newport 014D,Investigation complete; no suspect identified
38c809f33d218ce2633eb274269eccf2a01da6de7ee82cf57042e44bfdce9d0e,2022-04,Gwent Police,Gwent Police,-3.019324,51.658436,On or near PLAS TWYN,W01001519,Torfaen 007A,Investigation complete; no suspect identified
9cb997b216143ea4580f6f6b4947590239a1802eb206a44ce2d5f0a56e27dd2f,2022-04,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
e42a02e827dc2d2cb1342fdad9b89353a2c2e0b051079631fae0ba4d65e360ff,2022-04,Gwent Police,Gwent Police,-3.131183,51.735818,On or near DUFFRYN ROAD,W01001437,Blaenau Gwent 008C,Investigation complete; no suspect identified
3c84b420910d7d5da61c000d73963ddd12055e7db8df97bf8812f696880dfcac,2022-04,Gwent Police,Gwent Police,-3.021382,51.613667,On or near MILL HEATH,W01001622,Newport 003F,Investigation complete; no suspect identified
88de942ab7b34bfa4ac9f9a4b741fec0398160f9601873878f03a0c0c156a5c9,2022-04,Gwent Police,Gwent Police,-3.191236,51.653653,On or near BRYNTEG AVENUE,W01001403,Caerphilly 011C,Investigation complete; no suspect identified
d0365e5db1928711483fd72a2896ac6fbf415b17fc86101e8bcc3c7de5f6f5c1,2022-04,Gwent Police,Gwent Police,-2.953962,51.577738,On or near MULCASTER AVENUE,W01001648,Newport 015G,Investigation complete; no suspect identified
ea9df6908f9f60cc762f9f5fe281212ba091df95298c7858453900b6808dacb2,2022-04,Gwent Police,Gwent Police,-3.218792,51.687718,On or near BYRON ROAD,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
1085c2f27dddb85ec7b0e176668a758395326b9ce8d659e8590df954bacf8323,2022-04,Gwent Police,Gwent Police,-3.235710,51.763889,On or near WOODFIELD CROSS,W01001463,Blaenau Gwent 006B,Investigation complete; no suspect identified
eeb291a1c193dea9a457d3632587480600396ef0f3af318dae69029f4098900f,2022-04,Gwent Police,Gwent Police,-3.239976,51.768331,On or near Parking Area,W01001463,Blaenau Gwent 006B,Investigation complete; no suspect identified
46517152808dd0b5b3317f9282e731fa8992adaebf805c4d6654dede7ba92d35,2022-04,Gwent Police,Gwent Police,-3.231758,51.604706,On or near JAMES STREET,W01001368,Caerphilly 019C,Investigation complete; no suspect identified
bb2210aa3ba7a6b17eb6abdbfd4b38631999edc87d3e95dc32d1827a9e4af465,2022-04,Gwent Police,Gwent Police,-3.221907,51.570695,On or near RECTORY CLOSE,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
d49677430684571b8bedc18743acb56b3dd4bfc293018cf28b2d40b3f70de291,2022-04,Gwent Police,Gwent Police,-3.251443,51.784170,On or near COACH BACH,W01001472,Blaenau Gwent 003A,Investigation complete; no suspect identified
a45a0abbd2de4be5b39eee1c14483a6c9d76ddcc272122779feec806b8af777e,2022-04,Gwent Police,Gwent Police,-3.183645,51.799321,On or near Petrol Station,W01001447,Blaenau Gwent 002B,Investigation complete; no suspect identified
f916e3edd9411f369be5555f40422612c30da16b9160636dd889a923bd2a6949,2022-04,Gwent Police,Gwent Police,-2.996604,51.602704,On or near BRYNGLAS AVENUE,W01001683,Newport 006D,Investigation complete; no suspect identified
16ee837f450ffa772adbe1a955a6eba106c13b2cb761a242f58ef61a22ccf73f,2022-04,Gwent Police,Gwent Police,-2.735946,51.789634,On or near PARC PENTRE,W01001575,Monmouthshire 005D,Investigation complete; no suspect identified
9dffff735f2a23450f921b0671b91871c60584110309a1f207aa8d856047190f,2022-04,Gwent Police,Gwent Police,-3.272207,51.603762,On or near TAN-Y-BRYN,W01001333,Caerphilly 018D,Investigation complete; no suspect identified
4faefb67f8230b95b9592e0923da9640e3f5eab0421a98fdc45d557c1fd1a9ff,2022-04,Gwent Police,Gwent Police,-3.276667,51.742501,On or near EDMUND STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
bce0227c77a48e699ba6d84099018dd275c776e006ce688b95a435c2627b0790,2022-04,Gwent Police,Gwent Police,-3.186846,51.800817,On or near BRYN COCH,W01001447,Blaenau Gwent 002B,Investigation complete; no suspect identified
4a73104ba54b319d7f4de2710678c8c89c557eda7323925ac568a50d92735c5c,2022-04,Gwent Police,Gwent Police,-3.284310,51.759700,On or near Petrol Station,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
